epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,23,,,0.7995606064796448,0.629854679107666
0,23,0.8289265036582947,,,
1,47,,,0.8604586124420166,0.5142902135848999
1,47,0.40841367840766907,,,
2,49,,0.2339339703321457,,
2,71,,,0.8698664903640747,0.5008067488670349
2,71,0.2368413209915161,,,
3,95,,,0.8664864301681519,0.5179510116577148
3,95,0.13192220032215118,,,
4,99,,0.04126758500933647,,
4,119,,,0.861416220664978,0.5732944011688232
4,119,0.0778348445892334,,,
5,143,,,0.8560081124305725,0.6220383048057556
5,143,0.05260245129466057,,,
6,149,,0.017636090517044067,,
6,167,,,0.8568531274795532,0.6776787042617798
6,167,0.028892986476421356,,,
7,191,,,0.8535012006759644,0.6915536522865295
7,191,0.02099737897515297,,,
8,199,,0.028657568618655205,,
8,215,,,0.8543744087219238,0.7349099516868591
8,215,0.015359459444880486,,,
9,239,,,0.8495296239852905,0.7757500410079956
9,239,0.017387820407748222,,,
10,249,,0.008109423331916332,,
10,263,,,0.8499239683151245,0.786293625831604
10,263,0.011495474725961685,,,
11,287,,,0.8482902646064758,0.8231661319732666
11,287,0.007171843200922012,,,
12,299,,0.003811248578131199,,
12,311,,,0.848853588104248,0.8362123966217041
12,311,0.006922698579728603,,,
13,335,,,0.8493605852127075,0.8501666188240051
13,335,0.005035995040088892,,,
14,349,,0.0035894643515348434,,
14,359,,,0.8470508456230164,0.8672752380371094
14,359,0.0040237437933683395,,,
15,383,,,0.8471071720123291,0.8913767337799072
15,383,0.003499347949400544,,,
16,399,,0.0027642366476356983,,
16,407,,,0.8467128872871399,0.8980503678321838
16,407,0.0030777419451624155,,,
17,431,,,0.8462058305740356,0.9171088933944702
17,431,0.003483949461951852,,,
18,449,,0.0017258042935281992,,
18,455,,,0.8459241390228271,0.9247350692749023
18,455,0.003288162872195244,,,
19,479,,,0.8463184833526611,0.9298830032348633
19,479,0.0026748531963676214,,,
20,499,,0.0013711201027035713,,
20,503,,,0.8466565608978271,0.9379491806030273
20,503,0.0025768750347197056,,,
21,527,,,0.8463184833526611,0.9459599256515503
21,527,0.002374978270381689,,,
22,549,,0.0023028948344290257,,
22,551,,,0.8459805250167847,0.9513021111488342
22,551,0.001978783868253231,,,
23,575,,,0.8457551598548889,0.9563621282577515
23,575,0.00236904202029109,,,
24,599,,0.0014343666844069958,,
24,599,,,0.8457269668579102,0.9633712768554688
24,599,0.0016203195555135608,,,
25,623,,,0.8456143140792847,0.9726495146751404
25,623,0.0016024488722905517,,,
26,647,,,0.8455580472946167,0.9735955595970154
26,647,0.0014802491059526801,,,
27,649,,0.0011958323884755373,,
27,671,,,0.8455579876899719,0.9845507740974426
27,671,0.00183285609818995,,,
28,695,,,0.8456143140792847,0.9828605651855469
28,695,0.0014666072092950344,,,
29,699,,0.0015686836559325457,,
29,719,,,0.8452200293540955,0.9903008341789246
29,719,0.0014434767654165626,,,
30,743,,,0.8452762961387634,0.9932990074157715
30,743,0.0015780160902068019,,,
31,749,,0.0037991120480000973,,
31,767,,,0.8457833528518677,0.9965553283691406
31,767,0.0014825905673205853,,,
32,791,,,0.8459523916244507,1.0006119012832642
32,791,0.0013190003810450435,,,
33,799,,0.001497361809015274,,
33,815,,,0.8457833528518677,1.004118800163269
33,815,0.0012723214458674192,,,
34,839,,,0.8452763557434082,1.0088266134262085
34,839,0.0013658431125804782,,,
35,849,,0.0009737805812619627,,
35,863,,,0.8454172015190125,1.0079729557037354
35,863,0.0010438610333949327,,,
36,887,,,0.8453890085220337,1.018161416053772
36,887,0.0013299532001838088,,,
37,899,,0.0008518603863194585,,
37,911,,,0.8455016613006592,1.0177276134490967
37,911,0.0012755965581163764,,,
38,935,,,0.8454453349113464,1.0183018445968628
38,935,0.0010607836302369833,,,
39,949,,0.0005037895170971751,,
39,959,,,0.8453326225280762,1.0218290090560913
39,959,0.0010085755493491888,,,
40,983,,,0.8453044891357422,1.0258585214614868
40,983,0.0012054519029334188,,,
41,999,,0.0006369765615090728,,
41,1007,,,0.8456425070762634,1.0272077322006226
41,1007,0.0010856748558580875,,,
42,1031,,,0.8454172015190125,1.0289703607559204
42,1031,0.0009838310070335865,,,
43,1049,,0.0006350359180942178,,
43,1055,,,0.8451918363571167,1.0333129167556763
43,1055,0.0011468296870589256,,,
44,1079,,,0.8453608751296997,1.0324411392211914
44,1079,0.0009113926789723337,,,
45,1099,,0.0010624972637742758,,
45,1103,,,0.8453608751296997,1.0348988771438599
45,1103,0.0008990548085421324,,,
46,1127,,,0.8453607559204102,1.0378234386444092
46,1127,0.0010072332806885242,,,
47,1149,,0.0005123857408761978,,
47,1151,,,0.8450227975845337,1.0384536981582642
47,1151,0.000866991700604558,,,
48,1175,,,0.8451918363571167,1.0426663160324097
48,1175,0.001042644609697163,,,
49,1199,,0.0004522305098362267,,
49,1199,,,0.8451354503631592,1.0433114767074585
49,1199,0.0009703484829515219,,,
