smiles,pert_iname,broad_id,activity_model_0,activity_model_1,activity_model_2,activity_model_3,activity_model_4,activity_model_5,activity_model_6,activity_model_7,activity_model_8,activity_model_9
Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21,5-BDBD,BRD-K33690734-001-01-5,0.386263,0.20564148,0.3030682,0.11251837,0.26406643,0.36350614,0.42769936,0.2599407,0.25760627,0.29108033
CCc1cc(ccn1)C(N)=S,ethionamide,BRD-K33710385-001-05-9,0.008209235,0.016834658,0.019078674,0.01562278,0.012089897,0.12656076,0.035317004,0.008175825,0.0065677734,0.07974872
C[N@@+]1(CC2CC2)CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@]3(O)CCC4=O)ccc5O,methylnaltrexone (bromide),BRD-K33732501-004-01-0,0.19679902,0.4439206,0.36505452,0.504806,0.2303234,0.41250357,0.5814544,0.12659973,0.0902438,0.8207108
CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O,chloramphenicol-palmitate,BRD-K33742430-001-01-1,0.40170977,0.53881204,0.89400274,0.8994228,0.7317864,0.7499828,0.76407593,0.8256967,0.8839019,0.7931179
COc1ccc(CNCc2cccc3ccccc23)cc1,ML133,BRD-K33743361-003-02-6,0.043374464,0.2734939,0.16674559,0.02985189,0.05814083,0.16110596,0.07066033,0.078730255,0.113903075,0.1409118
N[C@@H](CSCC(O)=O)C(O)=O,SCMC-Lys,BRD-K33809398-001-01-8,0.045416035,0.16286576,0.16457143,0.17069706,0.28547537,0.29023066,0.1744473,0.26289782,0.16339101,0.32377136
CC(C)[C@@H](N)C(=O)NCC(C)(C)SCC(=O)O[C@@H]1C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]23CCC(=O)[C@H]2[C@]1(C)[C@H](C)CC3,valnemulin hcl,BRD-K33813875-003-01-8,0.10974341,0.32815135,0.056002367,0.570323,0.109374754,0.5422478,0.21476607,0.011773264,0.07568738,0.53130865
CCCCC(F)(F)C(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,lubiprostone,BRD-K33814251-001-01-4,0.5878524,0.70252764,0.17531677,0.66974336,0.1484766,0.71674526,0.7780958,0.7370565,0.56276923,0.6840906
OC(=O)Cc1cccc(OCCCN(CC(c2ccccc2)c2ccccc2)Cc2cccc(c2Cl)C(F)(F)F)c1,GW-3965,BRD-K33818169-003-03-8,0.011383443,0.011305543,0.02686991,0.03276271,0.024714475,0.066340104,0.03575409,0.043843735,0.0023777538,0.03898575
CN1CC[C@H]2Nc3ccc(C)cc3[C@H]2C1,stobadine,BRD-K33839500-001-01-0,0.36255577,0.72946626,0.477874,0.5938618,0.41640818,0.31211576,0.3208065,0.5842764,0.5738698,0.29884657
CCCn1c(=O)n(-c2ccc(Cl)cc2)c2nc[nH]c2c1=O,arofylline,BRD-K33852358-001-09-9,0.7111514,0.3098285,0.769507,0.47111788,0.31387556,0.40654227,0.46799228,0.21335061,0.24415104,0.53428614
CCCOc1ccc2[nH]cc(C3=CCNCC3)c2n1,CP-94253,BRD-K33860217-003-03-2,0.36199242,0.062478103,0.40290812,0.6401137,0.38442552,0.2721365,0.64132255,0.2941506,0.29177067,0.23911074
CC(C)Oc1cccc(c1)-n1c(CCc2c[nH]c3ccc(Br)cc23)nc2ccccc2c1=O,LY225910,BRD-K33864865-001-02-5,0.115767725,0.111701414,0.26627916,0.34392327,0.09464311,0.2219193,0.29128274,0.051186897,0.12019593,0.29941523
CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,ZK-93423,BRD-K33882852-003-02-8,0.12302159,0.034171227,0.075992465,0.28021774,0.044272617,0.15054649,0.04724205,0.22404292,0.19086799,0.2049629
COc1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12,ML347,BRD-K33892651-001-02-4,0.8113891,0.94459265,0.9268457,0.8100962,0.9760696,0.86236376,0.70434314,0.9227689,0.9854612,0.6593822
CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,benfluralin,BRD-K33903083-001-03-5,0.29967323,0.31241283,0.8072229,0.5447731,0.31195375,0.5654003,0.49028513,0.61557746,0.28718537,0.77438706
CCNc1nc(Nc2cc(F)c(cc2OC)C(=O)N2CCOCC2)ncc1C(F)(F)F,GNE-7915,BRD-K33963447-001-03-9,0.008688807,0.01677398,0.019029453,0.03449874,0.06364427,0.24972214,0.06461147,0.089808986,0.016601482,0.2819396
COc1cc2C[C@H](CN(C)CCCN3CCc4cc(OC)c(OC)cc4CC3=O)c2cc1OC,ivabradine,BRD-K33972682-003-02-9,0.010975015,0.025634095,0.013298993,0.001551884,0.049202204,0.14331102,0.010326179,0.053366963,0.012975961,0.14290138
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,clofarabine,BRD-K34022604-001-05-8,0.7073005,0.7538456,0.9175045,0.26423573,0.3554019,0.61085373,0.77091783,0.53103423,0.51225245,0.76928115
CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,betamethasone-valerate,BRD-K34032314-001-02-5,0.012765201,0.22149071,0.025657257,0.004658662,0.13086726,0.077492975,0.0034858698,0.011936232,0.03978535,0.64914244
O[C@@H](C(=O)N[C@H]1[C@H]2SCC(CSc3nnnn3CS(O)(=O)=O)=C(N2C1=O)C(O)=O)c1ccccc1,cefonicid,BRD-K34058848-304-01-5,0.91258734,0.9854593,0.97858924,0.9910437,0.7145489,0.7447878,0.7430177,0.9751174,0.8535659,0.7539309
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1,delavirdine,BRD-K34068325-066-01-1,0.16559923,0.012785439,0.12042542,0.10515703,0.14510462,0.2463709,0.32608718,0.10818658,0.32488066,0.30587924
Cc1coc-2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,tanshinone-I,BRD-K34073885-001-07-7,0.48724043,0.5417608,0.42556795,0.5686332,0.5142346,0.68820673,0.5291925,0.35206473,0.4207619,0.58217156
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)c1[nH]c2ccccc2c1C[C@@]35O,naltrindole,BRD-K34088084-003-06-9,0.88729465,0.9488375,0.98148364,0.9796708,0.84526956,0.9195807,0.9392927,0.95656824,0.640487,0.94325507
OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,tienilic-acid,BRD-K34098590-001-02-1,0.022560757,0.047665887,0.07238216,0.06318832,0.016382074,0.25587168,0.068061724,0.019885559,0.07183732,0.2713673
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,denatonium-benzoate,BRD-K34122555-057-11-5,0.0058970586,0.0014066531,0.0016919102,0.0011453748,0.0030495932,0.014123489,0.0066160727,0.0038696502,0.0007648231,0.06683758
Brc1ccc2C(=O)C(=O)C=Cc2c1,bonaphthone,BRD-K34149328-001-01-3,0.08541451,0.08284751,0.38079432,0.090713926,0.31321442,0.19692594,0.17490628,0.120302685,0.23816341,0.22855408
CCCCNc1c(C(=O)OCC)c(C)nc2n(CC)ncc12,tracazolate,BRD-K34154330-003-06-4,0.7778449,0.8373595,0.78895617,0.8401857,0.74765897,0.7022674,0.8689553,0.8015155,0.6916718,0.8466353
CN\C(NCCSCc1[nH]cnc1C)=N/C#N,cimetidine,BRD-K34157611-001-14-5,0.0052024364,0.008469923,0.016570877,0.013844175,0.0048552584,0.017440401,0.023007471,0.014082549,0.0059222793,0.06883375
CC(=O)Nc1nc2c(Oc3cc(ncn3)-c3ccc(cc3)C(F)(F)F)cccc2s1,AMG-517,BRD-K34185671-001-02-8,0.19165827,0.14816207,0.31495246,0.26750216,0.2622147,0.36124167,0.18548957,0.5520099,0.117028244,0.18193258
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,benzalkonium,BRD-K34234316-003-04-7,0.042585954,0.050219495,0.0653964,0.07123724,0.069046736,0.20186798,0.042594463,0.037316885,0.023126803,0.34709355
CN1c2ccccc2C(=N[C@@H](NC(=O)Nc2cccc(C)c2)C1=O)c1ccccc1,L-365260,BRD-K34277641-001-01-2,0.5051106,0.065128274,0.53280145,0.108724676,0.11977723,0.1849459,0.18667531,0.09486663,0.18815523,0.31331247
NCCNS(=O)(=O)c1ccc(Cl)c2ccncc12,CKI-7,BRD-K34303607-001-03-9,0.13433097,0.037542343,0.41617727,0.12555046,0.08405106,0.2043224,0.16648051,0.109773085,0.17391261,0.37136203
OC(=O)[C@@H]1C[C@H]2C[C@@H](CCc3nn[nH]n3)CC[C@H]2CN1,LY215490,BRD-K34313798-001-01-6,0.04679491,0.04016988,0.045960322,0.02277266,0.00922621,0.078456834,0.060343295,0.06542459,0.069161616,0.038158003
Nc1nc(NC[C@H]2CC[C@H](CNS(=O)(=O)c3cccc4ccccc34)CC2)nc2ccccc12,CGP-71683,BRD-K34321528-003-01-2,0.3154477,0.40964377,0.4377591,0.23914659,0.14240173,0.3609899,0.39158487,0.31933704,0.5014865,0.4154718
Oc1ccc(cc1)[C@@H]1CC(=O)c2ccc(O)cc2O1,MF-101,BRD-K34328244-001-01-4,0.16243993,0.34978348,0.17655686,0.16558601,0.17843372,0.35183638,0.1526019,0.27635306,0.116330974,0.260954
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](CN(C)C1=O)C(O)=O,imidapril hcl,BRD-K34332569-001-01-3,0.015785955,0.016936954,0.047950897,0.030633247,0.009176106,0.07826181,0.026043104,0.008149814,0.022008631,0.06833429
CN1CC[C@H](C[C@@H]1c1nc2ccccc2[nH]1)NC(=O)Nc1ccc(cc1)C#N,glasdegib,BRD-K34341643-001-01-4,0.43156004,0.3334525,0.23035225,0.39817816,0.25371662,0.14109202,0.29421154,0.08520361,0.21359149,0.2880751
CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n2c(nc4ccccc24)n(-c2c(C)cccc2C)c3=O)cc1,TC-S-7003,BRD-K34362291-001-01-5,0.1771633,0.15546529,0.10435668,0.06265661,0.06347367,0.34673053,0.10189982,0.090779305,0.1746313,0.30595627
COc1cccc(OC)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,methicillin,BRD-K34388247-236-08-2,0.051240362,0.385785,0.14969526,0.13804807,0.044646423,0.11623263,0.038280595,0.021661818,0.029537123,0.09214431
Cc1cc(C)n(c1)S(=O)(=O)c1c(C)cc(C)cc1C,HJC-0350,BRD-K34411045-001-01-9,0.6677917,0.644424,0.34698173,0.20588706,0.4028209,0.5186916,0.49571124,0.6311423,0.55210584,0.6588843
CN([NH2+][O-])C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,streptozotocin,BRD-K34411947-001-11-7,0.15495548,0.16238311,0.36471927,0.04892,0.3851852,0.4984994,0.060561173,0.028203946,0.014965935,0.47964206
COc1cc(cc(OC)c1OC)C(=O)NCc1ccc(OCCN(C)C)cc1,trimethobenzamide,BRD-K34415467-003-13-0,0.03382393,0.03789978,0.04339456,0.02880419,0.04761231,0.12473822,0.015856972,0.016672645,0.050101914,0.18395
Oc1ccc(\C=C(/C#N)C(=O)NCCCc2ccccc2)cc1O,AG-555,BRD-K34428485-001-18-4,0.45076045,0.3509278,0.66691124,0.21641283,0.7671112,0.48518512,0.35533297,0.28484458,0.8238551,0.6259838
Fc1cnc(=O)[nH]c1,5-FP,BRD-K34437622-001-06-4,0.67302424,0.5698212,0.72870505,0.8011971,0.8785601,0.61504716,0.7613618,0.81504714,0.76269096,0.58164364
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(O)=O,moexipril,BRD-K34441861-003-05-4,0.008638684,0.013720875,0.02657643,0.04418599,0.09303599,0.11051678,0.03076908,0.036064412,0.009860187,0.14751656
O[C@H]1CC[C@@H](CC1)Nc1nc(nc2[nH]ccc12)-c1ccccc1,SLV-320,BRD-K34445261-001-01-4,0.34379682,0.25598317,0.4125495,0.2734273,0.17545044,0.16826887,0.30990177,0.19293888,0.18578042,0.32579207
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,levalbuterol,BRD-K34469523-003-03-0,0.115289986,0.12967572,0.19153042,0.21489862,0.038682025,0.23335864,0.12606466,0.18390854,0.010796737,0.19462219
OC(=O)C1(CC1)c1ccc(c(F)c1)-c1ccc(Cl)c(Cl)c1,CHF5074,BRD-K34508702-001-02-4,0.5331637,0.5166369,0.5840814,0.64348036,0.58766997,0.47526973,0.6411296,0.65483874,0.5077865,0.60614055
Oc1ccc(\C=C(/C#N)C(=O)Nc2ccccc2)cc1O,tyrphostin-AG-494,BRD-K34533029-001-08-5,0.28330553,0.14718997,0.36070204,0.09416496,0.49496603,0.3136113,0.21579166,0.16189912,0.7223185,0.49236137
CC1=NCC[C@H](N1)C(O)=O,ectoine,BRD-K34566599-001-02-8,0.02581527,0.03178534,0.024304999,0.06938477,0.032526415,0.07053553,0.03640611,0.07663127,0.01077047,0.12068939
CCN(CC)CCOc1ccc2-c3ccc(OCCN(CC)CC)cc3C(=O)c2c1,tilorone,BRD-K34568562-001-04-3,0.012675,0.0077731,0.011380884,0.01343542,0.0063428516,0.04800774,0.009696752,0.015365934,0.005142238,0.037520807
Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1,BMS-536924,BRD-K34581968-001-04-6,0.01351236,0.013065072,0.044045698,0.0300553,0.019317744,0.043810323,0.025840824,0.03326503,0.011004205,0.150252
COC(C)(C)CCC[C@H](C)C\C=C\C(\C)=C\C(=O)OC(C)C,methoprene-(s),BRD-K34591242-001-04-3,0.011588194,0.08622214,0.0726653,0.02124469,0.40972877,0.2729997,0.01970304,0.29140824,0.018029662,0.19267324
Cc1ccc-2c(Cc3c(nn(c-23)-c2ccc(Cl)cc2Cl)C(=O)NC2CCCCC2)c1,GP2a,BRD-K34608650-001-02-4,0.054848444,0.1194458,0.2703427,0.04338482,0.101086825,0.23557249,0.10524578,0.052076958,0.16242914,0.15438434
C1C[C@@H](Nc2nc3ccccc3[nH]2)c2ccccc2C1,NS-8593,BRD-K34624869-003-01-6,0.096234515,0.030590506,0.24408995,0.04202661,0.036133092,0.17760727,0.7003689,0.100789346,0.13410974,0.15767625
OC(=O)c1ccccc1Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1,PD-118057,BRD-K34657753-001-01-9,0.52870506,0.2978401,0.45691687,0.33098152,0.45897797,0.467022,0.56251866,0.36242935,0.3742324,0.45439905
COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl,6-chloromelatonin,BRD-K34663752-001-09-1,0.014337353,0.006533917,0.05198489,0.0049729766,0.008928246,0.07050799,0.010399395,0.009187332,0.016060306,0.09368772
CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,HEMADO,BRD-K34672903-001-01-7,0.95233136,0.97995377,0.94030535,0.28150758,0.74814874,0.74545646,0.7569995,0.68097585,0.7395088,0.9126672
