epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,23,,,0.7743735313415527,0.6226693987846375
0,23,0.8542281985282898,,,
1,47,,,0.8526703715324402,0.454835444688797
1,47,0.41310641169548035,,,
2,49,,0.28383785486221313,,
2,71,,,0.8792901635169983,0.4125022292137146
2,71,0.23078766465187073,,,
3,95,,,0.8777275085449219,0.4368206262588501
3,95,0.12733173370361328,,,
4,99,,0.049697715789079666,,
4,119,,,0.8825269341468811,0.4609553813934326
4,119,0.07765932381153107,,,
5,143,,,0.8805178999900818,0.4786547124385834
5,143,0.05661371350288391,,,
6,149,,0.024349158629775047,,
6,167,,,0.8817456364631653,0.512813150882721
6,167,0.028721222653985023,,,
7,191,,,0.8797924518585205,0.5401608347892761
7,191,0.02374594286084175,,,
8,199,,0.05011364817619324,,
8,215,,,0.8804900050163269,0.5514510273933411
8,215,0.01722223311662674,,,
9,239,,,0.8803504705429077,0.5829237699508667
9,239,0.010643226094543934,,,
10,249,,0.008107630535960197,,
10,263,,,0.8802388906478882,0.5955679416656494
10,263,0.008314232341945171,,,
11,287,,,0.8801830410957336,0.6136897802352905
11,287,0.006930253002792597,,,
12,299,,0.0037283722776919603,,
12,311,,,0.8800156116485596,0.6179388761520386
12,311,0.006848940625786781,,,
13,335,,,0.8810759782791138,0.6297681331634521
13,335,0.004025990143418312,,,
14,349,,0.004377035424113274,,
14,359,,,0.8792901039123535,0.6433389186859131
14,359,0.0037723546847701073,,,
15,383,,,0.8791227340698242,0.6541492938995361
15,383,0.0034154702443629503,,,
16,399,,0.0022818755824118853,,
16,407,,,0.8788994550704956,0.6652539372444153
16,407,0.002973963273689151,,,
17,431,,,0.8785088062286377,0.6677821278572083
17,431,0.0027318221982568502,,,
18,449,,0.001536049647256732,,
18,455,,,0.8787320256233215,0.6766241788864136
18,455,0.0024244082160294056,,,
19,479,,,0.8782297968864441,0.6811659932136536
19,479,0.002225213684141636,,,
20,499,,0.0013629134045913815,,
20,503,,,0.8782855868339539,0.6899732947349548
20,503,0.0021438165567815304,,,
21,527,,,0.8786762952804565,0.68976229429245
21,527,0.0019615860655903816,,,
22,549,,0.002624466083943844,,
22,551,,,0.8785088658332825,0.6946020126342773
22,551,0.0018151589902117848,,,
23,575,,,0.8781182169914246,0.702113151550293
23,575,0.001779335318133235,,,
24,599,,0.002008731011301279,,
24,599,,,0.8786205053329468,0.7035512328147888
24,599,0.0015931653324514627,,,
25,623,,,0.8790110945701599,0.7087624073028564
25,623,0.0014650989323854446,,,
26,647,,,0.8788994550704956,0.7111117243766785
26,647,0.0014488253509625793,,,
27,649,,0.0006623079534620047,,
27,671,,,0.8783972263336182,0.7152609825134277
27,671,0.0013605563435703516,,,
28,695,,,0.8785088062286377,0.7174990773200989
28,695,0.0013063212390989065,,,
29,699,,0.0009975428692996502,,
29,719,,,0.8785646557807922,0.7210355401039124
29,719,0.0012192584108561277,,,
30,743,,,0.8783414363861084,0.7232934236526489
30,743,0.0011432867031544447,,,
31,749,,0.0006759383250027895,,
31,767,,,0.8786205053329468,0.7265666127204895
31,767,0.0011382999364286661,,,
32,791,,,0.8781740665435791,0.7287431359291077
32,791,0.0011017484357580543,,,
33,799,,0.0018750206800177693,,
33,815,,,0.8783972263336182,0.7316861748695374
33,815,0.0011378821218386292,,,
34,839,,,0.8782855868339539,0.7340431809425354
34,839,0.0010799849405884743,,,
35,849,,0.0005649016238749027,,
35,863,,,0.87806236743927,0.7365983724594116
35,863,0.0010289287893101573,,,
36,887,,,0.8782297372817993,0.7381942868232727
36,887,0.0009487787610851228,,,
37,899,,0.000843650777824223,,
37,911,,,0.8780065774917603,0.7400345802307129
37,911,0.000980079872533679,,,
38,935,,,0.8782297372817993,0.7422893643379211
38,935,0.0009647357510402799,,,
39,949,,0.000923156039789319,,
39,959,,,0.8781182169914246,0.7429386377334595
39,959,0.0009274009498767555,,,
40,983,,,0.8782855272293091,0.7455143332481384
40,983,0.0009640168864279985,,,
41,999,,0.00041183471330441535,,
41,1007,,,0.8781182169914246,0.7464699149131775
41,1007,0.0008731213747523725,,,
42,1031,,,0.8782856464385986,0.7477348446846008
42,1031,0.0008452347829006612,,,
43,1049,,0.0008658011211082339,,
43,1055,,,0.8781181573867798,0.7494874000549316
43,1055,0.0008235702989622951,,,
44,1079,,,0.8781740665435791,0.7517392039299011
44,1079,0.0008790346328169107,,,
45,1099,,0.00077247922308743,,
45,1103,,,0.8781739473342896,0.7525854110717773
45,1103,0.0008358302875421941,,,
46,1127,,,0.8781181573867798,0.7536169290542603
46,1127,0.0007716700783930719,,,
47,1149,,0.0005241658072918653,,
47,1151,,,0.87806236743927,0.7551777958869934
47,1151,0.0007826336077414453,,,
48,1175,,,0.8781740069389343,0.7561226487159729
48,1175,0.0007879734039306641,,,
49,1199,,0.001011851243674755,,
49,1199,,,0.8781182169914246,0.758236289024353
49,1199,0.0008231168030761182,,,
