Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,URB597,60,-10.82
model_01_psef_protein,BIX-01294,13,-10.82
model_01_psef_protein,pazopanib,29,-10.82
model_01_psef_protein,TAK-875,69,-10.82
model_01_psef_protein,docetaxel,49,-10.82
model_01_psef_protein,aliskiren-hemifumarate,81,-10.82
model_01_psef_protein,abiraterone-acetate,69,-10.82
model_01_psef_protein,LCL-161,70,-10.81
model_01_psef_protein,ACY-1215,82,-10.81
model_01_psef_protein,AV-412,22,-10.81
model_01_psef_protein,TMC-353121,32,-10.81
model_01_psef_protein,calcifediol,63,-10.81
model_01_psef_protein,stigmasterol,71,-10.8
model_01_psef_protein,bopindolol,4,-10.8
model_01_psef_protein,ezatiostat,72,-10.8
model_01_psef_protein,estradiol-benzoate,18,-10.8
model_01_psef_protein,emetine,54,-10.8
model_01_psef_protein,VX-11e,48,-10.8
model_01_psef_protein,udenafil,27,-10.8
model_01_psef_protein,AZ7550,43,-10.79
model_01_psef_protein,YM-201636,37,-10.79
model_01_psef_protein,alpha-tochopherol,6,-10.78
model_01_psef_protein,MK-8033,13,-10.78
model_01_psef_protein,NU-7441,44,-10.78
model_01_psef_protein,raloxifene,36,-10.78
model_01_psef_protein,olesoxime,1,-10.77
model_01_psef_protein,JNJ-26481585,17,-10.77
model_01_psef_protein,NNC-05-2090,24,-10.77
model_01_psef_protein,GSK2126458,94,-10.77
model_01_psef_protein,risperidone,47,-10.77
model_01_psef_protein,naquotinib,36,-10.77
model_01_psef_protein,ningetinib-tosylate,6,-10.77
model_01_psef_protein,ergosterol,42,-10.77
model_01_psef_protein,zamifenacin,85,-10.76
model_01_psef_protein,NMS-873,84,-10.76
model_01_psef_protein,GBR-12783,2,-10.76
model_01_psef_protein,tandutinib,1,-10.76
model_01_psef_protein,benidipine,32,-10.76
model_01_psef_protein,milademetan,78,-10.75
model_01_psef_protein,CX-5461,91,-10.75
model_01_psef_protein,AZD3264,20,-10.75
model_01_psef_protein,SF-11,38,-10.75
model_01_psef_protein,AMG900,30,-10.74
model_01_psef_protein,butaprost,19,-10.74
model_01_psef_protein,clofazimine,81,-10.74
model_01_psef_protein,IWP-L6,72,-10.74
model_01_psef_protein,SAG,93,-10.74
model_01_psef_protein,azimilide,50,-10.74
model_01_psef_protein,SNAP-94847,4,-10.73
model_01_psef_protein,GW-6471,75,-10.73
model_01_psef_protein,SIS3,83,-10.73
model_01_psef_protein,S26948,23,-10.73
model_01_psef_protein,CDK9-IN-6,50,-10.73
model_01_psef_protein,cenicriviroc,94,-10.72
model_01_psef_protein,LY225910,20,-10.72
model_01_psef_protein,abemaciclib,67,-10.72
model_01_psef_protein,MK2-IN-1,53,-10.72
model_01_psef_protein,BVT-2733,12,-10.72
model_01_psef_protein,lifitegrast,34,-10.71
model_01_psef_protein,4SC-202,83,-10.71
model_01_psef_protein,desisobutyryl-ciclesonide,89,-10.71
model_01_psef_protein,lofepramine,40,-10.71
model_01_psef_protein,CPI-169,71,-10.7
model_01_psef_protein,MK-7622,60,-10.7
model_01_psef_protein,cinnarazine,48,-10.7
model_01_psef_protein,tradipitant,5,-10.7
model_01_psef_protein,glyburide,31,-10.7
model_01_psef_protein,AZD9056,77,-10.69
model_01_psef_protein,M8-B,63,-10.69
model_01_psef_protein,TEN-010,76,-10.69
model_01_psef_protein,BMS-779788,20,-10.69
model_01_psef_protein,buclizine,38,-10.69
model_01_psef_protein,aramchol,67,-10.69
model_01_psef_protein,endo-IWR-1,56,-10.68
model_01_psef_protein,elbasvir,38,-10.68
model_01_psef_protein,AMD-3465,69,-10.68
model_01_psef_protein,alexidine,21,-10.68
model_01_psef_protein,D-delta-tocopherol,3,-10.68
model_01_psef_protein,madecassoside,72,-10.68
model_01_psef_protein,Rec-15_2615,79,-10.67
model_01_psef_protein,PF-03758309,67,-10.67
model_01_psef_protein,vindesine,79,-10.67
model_01_psef_protein,tucatinib,19,-10.67
