epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,22,,,0.7383182644844055,0.6303771734237671
0,22,0.8619228005409241,,,
1,45,,,0.8392010927200317,0.4903242886066437
1,45,0.4251194894313812,,,
2,49,,0.23062822222709656,,
2,68,,,0.8514750003814697,0.4887576103210449
2,68,0.23286616802215576,,,
3,91,,,0.8568044304847717,0.5358208417892456
3,91,0.12492161244153976,,,
4,99,,0.11139046400785446,,
4,114,,,0.851636528968811,0.5957809686660767
4,114,0.07368203997612,,,
5,137,,,0.8494832515716553,0.6250888109207153
5,137,0.04404018819332123,,,
6,149,,0.027726605534553528,,
6,160,,,0.8482450246810913,0.6886463165283203
6,160,0.026249052956700325,,,
7,183,,,0.8516903519630432,0.7025363445281982
7,183,0.025914689525961876,,,
8,199,,0.011496362276375294,,
8,206,,,0.8511520624160767,0.7241661548614502
8,206,0.014627472497522831,,,
9,229,,,0.8438845872879028,0.7620396018028259
9,229,0.011575312353670597,,,
10,249,,0.00851450301706791,,
10,252,,,0.8450689315795898,0.7967758774757385
10,252,0.010048234835267067,,,
11,275,,,0.8462532162666321,0.8207781910896301
11,275,0.00739675760269165,,,
12,298,,,0.8453918695449829,0.8322475552558899
12,298,0.00574876181781292,,,
13,299,,0.0035004522651433945,,
13,321,,,0.844745934009552,0.8523085713386536
13,321,0.004527711775153875,,,
14,344,,,0.8444766998291016,0.8738031387329102
14,344,0.0036908367183059454,,,
15,349,,0.0021774177439510822,,
15,367,,,0.8444229364395142,0.884522020816803
15,367,0.003333288012072444,,,
16,390,,,0.8451765775680542,0.8822841644287109
16,390,0.004205930512398481,,,
17,399,,0.0020137587562203407,,
17,413,,,0.8439922332763672,0.9011296033859253
17,413,0.0030807219445705414,,,
18,436,,,0.843992292881012,0.9078173637390137
18,436,0.002919470425695181,,,
19,449,,0.004528810735791922,,
19,459,,,0.8436154127120972,0.9242309331893921
19,459,0.0023791296407580376,,,
20,482,,,0.8435615301132202,0.9348065853118896
20,482,0.0022686421871185303,,,
21,499,,0.0019155144691467285,,
21,505,,,0.8440998792648315,0.9339848160743713
21,505,0.0018843627767637372,,,
22,528,,,0.8437230587005615,0.9461767077445984
22,528,0.001956402789801359,,,
23,549,,0.0009405785822309554,,
23,551,,,0.8434538841247559,0.9527981281280518
23,551,0.0016479592304676771,,,
24,574,,,0.8434270024299622,0.9588779807090759
24,574,0.0016437711892649531,,,
25,597,,,0.8434538841247559,0.9628273844718933
25,597,0.0016794319963082671,,,
26,599,,0.0012938387226313353,,
26,620,,,0.843130886554718,0.9720206260681152
26,620,0.0014871683670207858,,,
27,643,,,0.8431309461593628,0.9757994413375854
27,643,0.001433524303138256,,,
28,649,,0.001135503058321774,,
28,666,,,0.84337317943573,0.9793490767478943
28,666,0.0012981005711480975,,,
29,689,,,0.8431578278541565,0.9845432639122009
29,689,0.0012392851058393717,,,
30,699,,0.001472370233386755,,
30,712,,,0.8428886532783508,0.9901843667030334
30,712,0.001383674331009388,,,
31,735,,,0.8432655334472656,0.9912406802177429
31,735,0.0013626182917505503,,,
32,749,,0.0009308769949711859,,
32,758,,,0.8429962992668152,0.9962819814682007
32,758,0.0011730267433449626,,,
33,781,,,0.8433462381362915,1.0037368535995483
33,781,0.001219923491589725,,,
34,799,,0.0012657627230510116,,
34,804,,,0.8434808254241943,1.0022903680801392
34,804,0.0011888665612787008,,,
35,827,,,0.8431847095489502,1.0090205669403076
35,827,0.001123492605984211,,,
36,849,,0.000605305191129446,,
36,850,,,0.8432116508483887,1.008217453956604
36,850,0.0010202982230111957,,,
37,873,,,0.8430501818656921,1.0157546997070312
37,873,0.0010170282330363989,,,
38,896,,,0.8430232405662537,1.0172537565231323
38,896,0.001023055287078023,,,
39,899,,0.0008089888142421842,,
39,919,,,0.8432654738426208,1.0198761224746704
39,919,0.0010955631732940674,,,
40,942,,,0.8431040048599243,1.0225365161895752
40,942,0.0009659378556534648,,,
41,949,,0.000850904209073633,,
41,965,,,0.842942476272583,1.0251977443695068
41,965,0.0009166989475488663,,,
42,988,,,0.842807948589325,1.0274181365966797
42,988,0.0008856775821186602,,,
43,999,,0.0005145030445419252,,
43,1011,,,0.8428887128829956,1.030050277709961
43,1011,0.0008695751894265413,,,
44,1034,,,0.8428887128829956,1.0320645570755005
44,1034,0.0009007400367408991,,,
45,1049,,0.0008147170301526785,,
45,1057,,,0.8428078889846802,1.0356769561767578
45,1057,0.0009212311706505716,,,
46,1080,,,0.8429694175720215,1.0355421304702759
46,1080,0.0008061365806497633,,,
47,1099,,0.0024012289941310883,,
47,1103,,,0.8429155349731445,1.0394035577774048
47,1103,0.0008882073452696204,,,
48,1126,,,0.8431578278541565,1.0392564535140991
48,1126,0.0008588987402617931,,,
49,1149,,0.00046772847417742014,,
49,1149,,,0.8431040048599243,1.0408518314361572
49,1149,0.0007873408030718565,,,
