epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,22,,,0.7700093984603882,0.5929295420646667
0,22,0.8395821452140808,,,
1,45,,,0.8344488143920898,0.4721807837486267
1,45,0.4140893518924713,,,
2,49,,0.24545809626579285,,
2,68,,,0.8414182066917419,0.4745117127895355
2,68,0.23364579677581787,,,
3,91,,,0.8449581861495972,0.5158485174179077
3,91,0.12545520067214966,,,
4,99,,0.05362296476960182,,
4,114,,,0.8304662704467773,0.58797287940979
4,114,0.09123806655406952,,,
5,137,,,0.8425244688987732,0.5815979242324829
5,137,0.04704691469669342,,,
6,149,,0.05545796826481819,,
6,160,,,0.8426904082298279,0.6339603066444397
6,160,0.033402860164642334,,,
7,183,,,0.8372697234153748,0.6755725145339966
7,183,0.02463296242058277,,,
8,199,,0.01551002636551857,,
8,206,,,0.8363847732543945,0.6931635737419128
8,206,0.013180521316826344,,,
9,229,,,0.8342275619506836,0.7669661045074463
9,229,0.010545287281274796,,,
10,249,,0.005631742533296347,,
10,252,,,0.8385419845581055,0.7503811717033386
10,252,0.009968229569494724,,,
11,275,,,0.8393716812133789,0.770167350769043
11,275,0.006408977322280407,,,
12,298,,,0.8376016616821289,0.7951527833938599
12,298,0.005415450315922499,,,
13,299,,0.0047804927453398705,,
13,321,,,0.838099479675293,0.8096610903739929
13,321,0.006020925473421812,,,
14,344,,,0.8393716812133789,0.8205909729003906
14,344,0.003869059029966593,,,
15,349,,0.0036666502710431814,,
15,367,,,0.8399248123168945,0.8385761380195618
15,367,0.003515679854899645,,,
16,390,,,0.8393440246582031,0.8448120951652527
16,390,0.0030245198868215084,,,
17,399,,0.0021921247243881226,,
17,413,,,0.8387632369995117,0.8625221848487854
17,413,0.002788117155432701,,,
18,436,,,0.8387632369995117,0.867975115776062
18,436,0.003707599826157093,,,
19,449,,0.005181137006729841,,
19,459,,,0.8387632369995117,0.8752379417419434
19,459,0.002740678144618869,,,
20,482,,,0.8391504287719727,0.8789646029472351
20,482,0.0022411064710468054,,,
21,499,,0.002005939371883869,,
21,505,,,0.8376569747924805,0.8967154622077942
21,505,0.0023890044540166855,,,
22,528,,,0.8380441665649414,0.8966360092163086
22,528,0.0019533736631274223,,,
23,549,,0.0011875492054969072,,
23,551,,,0.8385419249534607,0.9018621444702148
23,551,0.0018872363725677133,,,
24,574,,,0.8383760452270508,0.9122101068496704
24,574,0.001771054114215076,,,
25,597,,,0.8380441069602966,0.916947066783905
25,597,0.0019392602844163775,,,
26,599,,0.0016992581076920033,,
26,620,,,0.8386526107788086,0.9200076460838318
26,620,0.0014900733949616551,,,
27,643,,,0.8386525511741638,0.9280692934989929
27,643,0.001525040715932846,,,
28,649,,0.0014339201152324677,,
28,666,,,0.8382100462913513,0.9321253895759583
28,666,0.001634220127016306,,,
29,689,,,0.8384866118431091,0.9363711476325989
29,689,0.0013751931255683303,,,
30,699,,0.0022915033623576164,,
30,712,,,0.8384313583374023,0.9392877817153931
30,712,0.0013025375083088875,,,
31,735,,,0.8383207321166992,0.9478658437728882
31,735,0.0014414227334782481,,,
32,749,,0.0013861735351383686,,
32,758,,,0.8384866714477539,0.9460321664810181
32,758,0.001245629508048296,,,
33,781,,,0.8382653594017029,0.952619731426239
33,781,0.001346656121313572,,,
34,799,,0.0012168840039521456,,
34,804,,,0.8383207321166992,0.9548174142837524
34,804,0.0012517881114035845,,,
35,827,,,0.8383207321166992,0.9572156667709351
35,827,0.0011947917519137263,,,
36,849,,0.0007593614282086492,,
36,850,,,0.8387079238891602,0.9593063592910767
36,850,0.0011639930307865143,,,
37,873,,,0.8380441665649414,0.9644932150840759
37,873,0.0012074157129973173,,,
38,896,,,0.8383207321166992,0.9641561508178711
38,896,0.0010317156556993723,,,
39,899,,0.0012259073555469513,,
39,919,,,0.8384866118431091,0.9667782187461853
39,919,0.0010246136225759983,,,
40,942,,,0.838597297668457,0.9693302512168884
40,942,0.0010100359795615077,,,
41,949,,0.0006662521045655012,,
41,965,,,0.838375985622406,0.9715375900268555
41,965,0.0011278290767222643,,,
42,988,,,0.8382100462913513,0.975525975227356
42,988,0.001053342828527093,,,
43,999,,0.001021233620122075,,
43,1011,,,0.8379888534545898,0.9768633246421814
43,1011,0.0010345187038183212,,,
44,1034,,,0.8380441665649414,0.9796492457389832
44,1034,0.0010173722403123975,,,
45,1049,,0.0007182409754022956,,
45,1057,,,0.838099479675293,0.9807019829750061
45,1057,0.0009749838500283659,,,
46,1080,,,0.8379335403442383,0.982803463935852
46,1080,0.0009312935872003436,,,
47,1099,,0.0007922772201709449,,
47,1103,,,0.8378229141235352,0.9855136275291443
47,1103,0.0009671258158050478,,,
48,1126,,,0.8379334807395935,0.9846943616867065
48,1126,0.0008440106175839901,,,
49,1149,,0.0018309018341824412,,
49,1149,,,0.8380441069602966,0.9880896210670471
49,1149,0.0008556083776056767,,,
