epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,22,,,0.7654421329498291,0.6042649149894714
0,22,0.8704008460044861,,,
1,45,,,0.8547482490539551,0.4684878885746002
1,45,0.4126077890396118,,,
2,49,,0.19794689118862152,,
2,68,,,0.8665034174919128,0.4576437175273895
2,68,0.2332310974597931,,,
3,91,,,0.8675917387008667,0.5063199996948242
3,91,0.12047640979290009,,,
4,99,,0.07468019425868988,,
4,114,,,0.8728707432746887,0.5189472436904907
4,114,0.08168643712997437,,,
5,137,,,0.8674829602241516,0.5639472603797913
5,137,0.0529111810028553,,,
6,149,,0.01988133415579796,,
6,160,,,0.8656870126724243,0.6134665012359619
6,160,0.03082136996090412,,,
7,183,,,0.8686258792877197,0.626518964767456
7,183,0.01949760690331459,,,
8,199,,0.006199197843670845,,
8,206,,,0.8695509433746338,0.6461825370788574
8,206,0.018923543393611908,,,
9,229,,,0.8682993054389954,0.664857804775238
9,229,0.013165931217372417,,,
10,249,,0.010347499512135983,,
10,252,,,0.8703673481941223,0.6886453628540039
10,252,0.009919848293066025,,,
11,275,,,0.8688979744911194,0.7013010382652283
11,275,0.008090728893876076,,,
12,298,,,0.8683537840843201,0.7188372015953064
12,298,0.006880444940179586,,,
13,299,,0.005917729344218969,,
13,321,,,0.8694421052932739,0.7352311015129089
13,321,0.005096299108117819,,,
14,344,,,0.869387686252594,0.7375993132591248
14,344,0.003671896643936634,,,
15,349,,0.0028312355279922485,,
15,367,,,0.8688435554504395,0.7543177008628845
15,367,0.003564721904695034,,,
16,390,,,0.8690067529678345,0.7661857604980469
16,390,0.003024462843313813,,,
17,399,,0.0025446321815252304,,
17,413,,,0.8683537840843201,0.7734043598175049
17,413,0.002731576096266508,,,
18,436,,,0.8690068125724792,0.7806602716445923
18,436,0.0024813227355480194,,,
19,449,,0.0021740638185292482,,
19,459,,,0.8688980340957642,0.792398989200592
19,459,0.0038434499874711037,,,
20,482,,,0.868408203125,0.7946916222572327
20,482,0.002454399596899748,,,
21,499,,0.0017357170581817627,,
21,505,,,0.8680816292762756,0.8029106855392456
21,505,0.0034822497982531786,,,
22,528,,,0.8682448863983154,0.8056221604347229
22,528,0.002875404665246606,,,
23,549,,0.0026267447974532843,,
23,551,,,0.8684081435203552,0.8096036911010742
23,551,0.002112973015755415,,,
24,574,,,0.8689523935317993,0.8173049092292786
24,574,0.001944378251209855,,,
25,597,,,0.8688979148864746,0.8203839063644409
25,597,0.0017546863527968526,,,
26,599,,0.001644265023060143,,
26,620,,,0.8690612316131592,0.8243857026100159
26,620,0.0015399279072880745,,,
27,643,,,0.8691156506538391,0.8305749297142029
27,643,0.0015166517114266753,,,
28,649,,0.0011712675914168358,,
28,666,,,0.8690340518951416,0.8320128321647644
28,666,0.001429747324436903,,,
29,689,,,0.8689795732498169,0.8513752222061157
29,689,0.002713230438530445,,,
30,699,,0.0011436663335189223,,
30,712,,,0.867809534072876,0.8421900868415833
30,712,0.001455839374102652,,,
31,735,,,0.8681633472442627,0.8442481160163879
31,735,0.001691859564743936,,,
32,749,,0.0015236170729622245,,
32,758,,,0.8684354424476624,0.848602294921875
32,758,0.0015762419207021594,,,
33,781,,,0.8682177066802979,0.8559378385543823
33,781,0.0016651198966428638,,,
34,799,,0.00143332255538553,,
34,804,,,0.8679999709129333,0.8520044088363647
34,804,0.0012342683039605618,,,
35,827,,,0.8681632876396179,0.8583143949508667
35,827,0.0011301649501547217,,,
36,849,,0.0015414069639518857,,
36,850,,,0.8684626817703247,0.859760046005249
36,850,0.001111782738007605,,,
37,873,,,0.8685171008110046,0.8714208006858826
37,873,0.0015303421532735229,,,
38,896,,,0.8681632876396179,0.8712181448936462
38,896,0.0017259933520108461,,,
39,899,,0.0008980502025224268,,
39,919,,,0.8677006959915161,0.8654928207397461
39,919,0.0011497517116367817,,,
40,942,,,0.8679456114768982,0.8740267157554626
40,942,0.0014442710671573877,,,
41,949,,0.0016071276040747762,,
41,965,,,0.8681904673576355,0.8748551607131958
41,965,0.0011938277166336775,,,
42,988,,,0.8679456114768982,0.8769827485084534
42,988,0.0011348590487614274,,,
43,999,,0.0006989642861299217,,
43,1011,,,0.8679999113082886,0.876796305179596
43,1011,0.001012265682220459,,,
44,1034,,,0.8680815696716309,0.8799079060554504
44,1034,0.00123890012037009,,,
45,1049,,0.0011803146917372942,,
45,1057,,,0.8682449460029602,0.8803612589836121
45,1057,0.0009274897165596485,,,
46,1080,,,0.8680815696716309,0.8846955299377441
46,1080,0.0011404689867049456,,,
47,1099,,0.000789157347753644,,
47,1103,,,0.8680543899536133,0.8822844624519348
47,1103,0.0008803837699815631,,,
48,1126,,,0.8680544495582581,0.885554313659668
48,1126,0.0009117670706473291,,,
49,1149,,0.0004958450444974005,,
49,1149,,,0.8680543899536133,0.8853566646575928
49,1149,0.0008564831805415452,,,
